provnum	stabbrev	deaths_per_bed	nh_covid_deaths	bedcert	tract_density	tract_housing_density	tract_pt_share_u50k	tract_pt_share	tract_pt_share_hc	tract_pov_share	tract_med_income	tract_white_share	tract_black_share	tract_white_nh_share	tract_share_frontline	tract_data	tract_share_nonwhite	tract_pred_nh_pt_share
"055874"	"CA"	0	0	99	9778.507	3.231857	.0739483	.0900798	.1252083	.0961764	41195.57	.3956201	.0793518	.2260367	.2980482	1	.6043799	.037134
"555851"	"CA"	0	0	99														
"555779"	"CA"	0	0	176	7717.977	2.946982	.0783369	.0960653	.1025278	.1110439	43727.7	.498251	.0848725	.3669055	.2653445	1	.501749	.060904
"555855"	"CA"	0	0	56	8629.142	2.981002	.0721614	.0956005	.1019755	.128398	40732.02	.4667012	.0967672	.2963431	.2819965	1	.5332988	.0607093
"056198"	"CA"	0	0	199	1504.459	2.572722	.0109585	.0106829	.0968997	.1626546	30331.93	.8479043	.0135135	.7348348	.2693887	1	.1520957	.0022112
"555625"	"CA"	0	0	90	2963.288	2.60028	.013361	.01202	.1045846	.1809547	28278.8	.814509	.0199713	.7029212	.271208	1	.185491	.0046145
"555281"	"CA"	0	0	126	1483.967	2.705873	.011637	.0114125	.1133185	.2325824	23853.47	.7648579	.0212503	.6548841	.2851606	1	.2351421	.001345
"555304"	"CA"	0	0	144	2865.432	2.647201	.012494	.0113329	.1164461	.1939994	26853.98	.7944956	.0213525	.6536567	.2743894	1	.2055044	.0045814
"055612"	"CA"	0	0	50	1483.967	2.705873	.011637	.0114125	.1133185	.2325824	23853.47	.7648579	.0212503	.6548841	.2851606	1	.2351421	.001345
"056074"	"CA"	0	0	184	3132.309	2.601397	.014986	.0132627	.1195073	.1811901	27479.86	.809252	.024536	.6737731	.2743615	1	.190748	.0041605
"055656"	"CA"	0	0	99	3118.525	2.570306	.0165378	.0173739	.1124179	.2192716	25839.49	.808991	.0239217	.6629894	.2707623	1	.191009	.0099111
"555802"	"CA"	0	0	59	1222.635	2.759668	.0140202	.0149479	.1213101	.238293	23514.64	.7404354	.0228584	.6415277	.3000404	1	.2595646	.0033138
"555776"	"CA"	0	0	82	1366.459	2.891624	.0057673	.0071426	.0888901	.2081135	26403.54	.7474388	.0175369	.5619344	.2848418	1	.2525612	.001121
"055516"	"CA"	0	0	76	3026.026	2.592372	.0147923	.0146421	.1189667	.1725542	28560.56	.8135545	.0188073	.692391	.270152	1	.1864455	.0055459
"056132"	"CA"	0	0	99	1347.63	2.771773	.0147691	.0137826	.1354491	.1930037	30138.62	.8335883	.0197932	.7039341	.2959642	1	.1664117	.001996
"555200"	"CA"	0	0	99														
"555821"	"CA"	0	0	36														
"055150"	"CA"	0	0	190	7000.453	2.999953	.0675104	.090733	.1118625	.1465983	37474.1	.5384426	.0932482	.4002581	.2736902	1	.4615574	.0434336
"055292"	"CA"	0	0	84														
"056399"	"CA"	0	0	99	5943.033	2.922834	.0681591	.0940524	.1040882	.1071122	45029.88	.5735962	.0763842	.4491807	.2579586	1	.4264038	.053477
"055085"	"CA"	0	0	49	5786.218	2.752455	.0915204	.1347907	.0913508	.0899127	50922.5	.6330584	.0567197	.5337931	.2302856	1	.3669416	.0941824
"555104"	"CA"	10.52632	20	190	8557.178	2.999868	.0691934	.0861765	.1070599	.1531341	36695.07	.5345316	.089865	.3780149	.2730871	1	.4654684	.0506225
"055099"	"CA"	0	0	80	9142.156	2.978553	.0890485	.1139129	.125581	.1675928	35337.53	.4509516	.1338915	.2754045	.2876323	1	.5490484	.063822
"056260"	"CA"	0	0	99	6987.658	2.9909	.0677541	.0862549	.1065124	.1140016	40007.37	.55156	.0829191	.3985144	.2666872	1	.44844	.0538291
"555287"	"CA"	0	0	120	6979.245	3.072993	.0765359	.090493	.1113758	.1516139	38116.14	.5232916	.1143191	.3855632	.2792261	1	.4767084	.0610557
"555684"	"CA"	0	0	96	6265.151	3.010457	.0751418	.0887744	.1124989	.1189004	40716.19	.5096763	.1034857	.3803484	.2757027	1	.4903237	.0412279
"055241"	"CA"	0	0	81	6242.937	3.015422	.0743292	.0943748	.1221939	.1413933	35312.84	.5011916	.1026811	.3689553	.2912856	1	.4988084	.0535718
"555735"	"CA"	0	0	35														
"056213"	"CA"	0	0	128	5943.033	2.922834	.0681591	.0940524	.1040882	.1071122	45029.88	.5735962	.0763842	.4491807	.2579586	1	.4264038	.053477
"055534"	"CA"	0	0	60	6197.169	3.046175	.0557306	.0827884	.1046875	.1168483	48382.75	.5153313	.0714808	.3823153	.2560889	1	.4846687	.0655491
"056327"	"CA"	0	0	180	6613.44	2.887264	.0721704	.095248	.1000588	.1233937	42611.96	.5642339	.0838515	.4395621	.2590668	1	.4357661	.0610494
